Link,Title,Description,Primary Category,Secondary Category,Tertiary Category
"""https://clinicaltrials.gov/show/NCT02266823"",","""Diabetes CKD Lifestyle Technology Study"",",""" The purpose of this study is to pilot test an mHealth technology-supported behavioral intervention designed to engage patients with diabetes and concurrent chronic kidney disease (CKD) in multiple behaviors which aim to reduce CKD progression. Participants will be randomized to the 6-month lifestyle intervention or to a wait-list control. The lifestyle intervention will be modeled after that used in the Diabetes Prevention Program (DPP) and the counseling intervention will be based on SCT, which will be paired with mobile technology-based dietary and physical activity monitoring. The wait-list control will receive 6 months of standard medical care followed by a delayed, but less intensive, 6-month intervention. "",",Endocrinology,Chronic pain / diseases,
"""https://clinicaltrials.gov/show/NCT05505942"",","""Physical Activity for PLWH and Unhealthy Drinking"",",""" Brief Summary: Alcohol use disorder (AUD) is a significant and costly public health problem that affects one-third of the U.S. population in their lifetime. Specifically, unhealthy alcohol use is common among persons living with HIV (PLWH) and increases the risk of developing negative outcomes. Antiretroviral therapy (ART) has shown increasing life expectancy and decreased HIV-related deaths, leading to a growing older adult HIV population. Yet, HIV accelerates the aging process and increases the risk for numerous chronic health conditions that compromise physical and mental health functioning and quality of life. Thus, PLWH continue to have shorter life expectancies relative to the general population and these multimorbidities explain this increased risk. In this context, unhealthy alcohol use among PLWH can further increase the risk for negative outcomes. Physical activity (PA) interventions can be used as an effective way to address unhealthy alcohol use among PLWH. Previous PA interventions have shown low generalizability and high loss to follow-up. Therefore, an intervention that is home-based, including lifestyle physical activity (LPA) with mobile health-delivered components is designed following the physical activity (PA) paradigm. Participants in this randomized controlled trial will be assigned to one of two study arms -- either the LPA or Fitbit Only intervention - both lasting 12-weeks. Both study arms will utilize a Fitbit to track daily step counts. In addition to utilizing a Fitbit, the LPA arm will receive 7 LPA sessions with a trained interventionist to assist in adding LPA to the participant's routine. The Fitbit only arm will receive only brief check-in phone calls and only related to assisting with any Fitbit functioning issues. Follow-up assessments will take place at 3 and 6 months. "",",Other,General Physiology,
"""https://clinicaltrials.gov/show/NCT05505578"",","""A Digital Intervention to Improve Physical Activity and Sleep Behaviors in Youth With Psychiatric Diagnoses"",",""" The goal of \""GamerFit\"" is to test the delivery of a theory-based mHealth app that utilizes social support, exergaming, and telehealth coaching to improve PA levels, sleep, and psychiatric symptoms among youth participants (ages 13-17 y) with PD. In order to aid future intervention optimization, 60 participants with at least one PD will be randomized, with 30 using the GamerFit app with weekly telehealth coaching sessions and 30 using a commercial healthy habits app as a comparator group "",",Somnology,Psychiatry,
"""https://clinicaltrials.gov/show/NCT04089358"",","""Mobile Health and Social Media Physical Activity Intervention Among Adolescent and Young Adult Childhood Cancer Survivors, the StepByStep Study"",",""" This phase III trial compares a multi-component mobile health and social media physical activity intervention versus wearing a physical activity tracker alone among adolescent and young adult childhood cancer survivors. Regular physical activity helps maintain healthy weight, energy levels, and health. Adolescents and young adults who complete treatment for cancer are often less active. They may gain weight and have more health problems compared to people the same age who have not had treatment for cancer. Comparing the 2 programs will help researchers learn how to increase physical activity levels over time and also how changes in physical activity levels affect health and quality of life over time. "",",Oncology,General Physiology,
"""https://clinicaltrials.gov/show/NCT04086615"",","""Trial of Neurostimulation and Blood Flow Restriction for PFPS in Active Duty"",",""" The overall objective of this project is to compare two self-managed treatment regimens for PFPS: (1) NMES-Exercise supplemented with high BFR LOP of 80% and (2) NMES Exercise augmented with a low percentage of BFR LOP at 20 mmHG (BFR-sham). Each of the two treatment arms will perform a fixed exercise protocol singularly and in combination with BFR-NMES, and NMES alone. The specific aims of the study are 1) To determine whether self-managed NMES-Exercise program supplemented with a high BFR of 80% LOP (limb occlusion pressure) is significantly more efficacious than NMES-Exercise with low BFR LOP set at 20 mmHG (sham) in improving muscle strength of the lower extremity, daily physical activity and mobility; and 2) To determine whether NMES-Exercise with high LOP BFR therapy improves QOL and PFPS symptoms significantly more than NMES-Exercise with low LOP BFR. "",",Other,,
"""https://clinicaltrials.gov/show/NCT04083456"",","""Dysvascular Amputation Self-Management of Health"",",""" The purpose of this study is to determine if walking biobehavioral intervention improves physical activity after dysvascular lower limb amputation. "",",Other,,
"""https://clinicaltrials.gov/show/NCT02549664"",","""Exercise in Genetic Cardiovascular Conditions"",",""" The goal is to determine how lifestyle and exercise impact the well-being of individuals with hypertrophic cardiomyopathy (HCM) and long QT syndrome (LQTS). Ancillary study Aim: To understand how the coronavirus epidemic is impacting psychological health and quality of life in the LIVE population "",",Cardiology,Psychiatry,
"""https://clinicaltrials.gov/show/NCT02850614"",","""Incentivizing Physical Activity Using Gamification, A Pilot Study"",",""" Juniors and seniors will be recruited to participate in the study, which will begin in the fall 2016 and run through May. The intervention will be a randomized-controlled trial, where students are randomized to either a control or incentive condition. Physical activity will be automatically tracked throughout the study period using FitBit activity trackers wirelessly linked to the gaming application on students' Chromebooks or mobile phones. Students who achieve 30 minutes of MVPA during the school day and/or 60 minutes of MVPA over the entire day will receive in-game rewards moving them up leaderboards in the game, providing them with more game points, or allowing them access to more game elements. Baseline outcome measures will be collected at the beginning of the school year in the fall, and post-intervention outcome measures will be collected in May. "",",General Physiology,,
"""https://clinicaltrials.gov/show/NCT05225649"",","""Health e-Baby: Trial to Reduce Obesity Risk Factors During the First 1,000 Days"",",""" Specific Aim: Feasibility of a Pilot Randomized Controlled Trial (RCT) in Pregnancy and Infancy to Reduce Childhood Obesity Risk Factors in Early Life. The main outcomes are feasibility of the intervention components and data collection. Study will use maternal body mass index (BMI) and child weight-for-length outcomes to estimate sample size needed for a full-scale trial to test intervention efficacy. Primary analysis for full-scale trial power and sample size calculations will be conducted using child weight-for-length data at Child Age 12 Months Visit. Data collected will inform future interventions. "",",Bariatrics,Obstetrics,
"""https://clinicaltrials.gov/show/NCT05224271"",","""Evaluating Patient Reported Outcomes in Radiation Therapy, The PRO-RT Study"",",""" This study explores the use of the Hugo platform to involve study participants in their healthcare and treatments. The Hugo platform may allow researchers to collect better and more accurate real-time health data, from other clinics/hospitals, pharmacies and other electronic devices. The purpose of this research is to see if the use of the Hugo platform is consistent, accurate, cost effective, and time efficient, as it collects and transmits important real-time health information from other clinics/hospitals, pharmacies, and other electronic devices. "",",Other,,
"""https://clinicaltrials.gov/show/NCT04064372"",","""Mindful Response to Adversity: A Brief Stress Resilience Training"",",""" The investigators will conduct an intervention study with the aim of improving stress resilience and mental health outcomes in at-risk freshman students. Participants will attend a group training session, led by a professional instructor, about responding to adversity, which will include a description of the skills, a writing and sharing activity focused on the proposed approach, and a practice session. Following the training, participants will be instructed to practice the skills that the participants just learned during a group version of a standard stress-induction task called the Trier Social Stress Task (the TSST-G). "",",Psychiatry,,
"""https://clinicaltrials.gov/show/NCT04065178"",","""Day Time Activity Level in Inpatient Neurological Rehabilitation as Related to Functional Outcomes at Discharge, Length of Stay, Discharge Location, and Quality of Life: a Preliminary Study"",",""" This preliminary study is intended to collect activity level data in a preliminary longitudinal means in order to gain more knowledge into our patient's current activity status. Our long-term objective of tracking patient activity levels in relation to function and length of stay is to identify opportunities for improved patient activity level, decreased length of stay, and increased functional mobility at discharge. The main purpose of this study is the exploration of the ability to generate meaningful activity data. Usual standard of care will be taking place during this preliminary study, there is not an intervention being studied at this time. "",",Other,,
"""https://clinicaltrials.gov/show/NCT04067830"",","""Respiratory Muscle Training Before Surgery in Preventing Lung Complications in Patients With Stage I-IIIB Lung Cancer"",",""" This phase II trial studies how well respiratory muscle training before surgery works in preventing lung complications after surgery in patients with stage I-IIIB lung cancer. Patients with lung cancer who choose to undergo surgical resection often have complications after surgery such as pneumonia, unplanned intubations, difficulty breathing and reduced physical functioning, and increased medical costs and a reduced quality of life. Improving pre-surgical pulmonary health through respiratory muscle training may improve respiratory muscle strength, response to surgery, and quality of life after surgery in patients with lung cancer. "",",Oncology,General Physiology,Pulmonology
"""https://clinicaltrials.gov/show/NCT03706963"",","""Remote Telemonitoring to Improve Prehabilitation and Surgical Outcomes of Patients Undergoing Elective Abdominal Surgery"",",""" There is data confirming that simple tests of physical capability, such as the timed \""get-up-and-go\"" test and the 6-minute walk test, correlate with surgical outcomes. It is reasonable to assume that preoperative telemonitoring, which allows for the tracking of more variables over a wider range of activities, could provide a significantly more accurate picture of a patient's physical fitness than a short one-time test performed in the clinic setting. Almost half of the patients who are readmitted at Washington University are readmitted for less than 4 days. The readmitted patients usually present with sepsis, are treated with antibiotics and percutaneous drainage, and are discharged home relatively quickly. Earlier identification of these patients, prior to the development of sepsis, would reduce the risks to the patient and allow for outpatient management. "",",General Physiology,,
"""https://clinicaltrials.gov/show/NCT05591274"",","""Virtual Reality Technology for Vasectomy Pain Modulation"",",""" This study will evaluate whether or not wearing a virtual reality (VR) headset reduces pain and anxiety in patients undergoing vasectomy. The headset being used is the SmileyScope virtual reality interface, a device already undergoing study for approval by the U.S. Food and Drug Administration (FDA) to reduce pain and anxiety in patients aged 4 years and older undergoing needle blood draw or injection procedures. In this study, the SmileyScope virtual reality interface is considered an investigational device because it is not yet approved for use in adult males undergoing vasectomy. "",",Psychiatry,,
"""https://clinicaltrials.gov/show/NCT05598996"",","""The YourMove Study: Optimizing Individualized and Adaptive mHealth Interventions Via Control Systems Engineering Methods"",",""" The purpose of this study is to determine the efficacy of a new digital health tool that uses a phone and smartwatch to encourage physical activity and increase weekly amounts of Moderate to Vigorous Physical Activity (MVPA) over 12 months among adults compared to a digital health intervention that mimics a standard of care corporate wellness program. "",",General Physiology,,
"""https://clinicaltrials.gov/show/NCT03776526"",","""Researching the Effects of Sleep on STep Count dUring the Postoperative Period"",",""" Patients over the age of 65 who are admitted to the Juravinski Hospital for treatment of hip fractures will be invited to take part in the study. An activity monitor (a Fitbit\u00ae Alta HR) will be attached to the participant post-operatively, to record quality of sleep and amount of activity for the duration of hospital stay. The time spent in hospital and whether complications or confusion develops will also be recorded. The aim is to determine whether poor sleep affects recovery after hip fracture surgery. "",",Somnology,Other,
"""https://clinicaltrials.gov/show/NCT03775291"",","""Validation of Software for Assessment of Sleep Apnea From Data Acquired by a Wearable Smartwatch"",",""" This clinical validation study aims to evaluate the utility of Fitbit's Sleep Apnea Alert software for minimally invasive monitoring of sleep apnea events to alert users of their risk of sleep apnea. The Sleep Apnea Alert software analyses data from a Fitbit commercially available wrist photoplethysmogram (PPG) device. The Sleep Apnea Alert software is an investigational software as medical device (SaMD) and is designed to retrospectively process data and flag users who have physiological signals consistent with an apnea-hypopnea index (AHI) of 15 or greater. This clinical validation study will be used to validate Fitbit's PPG-based sleep apnea algorithm. The outputs of the Fitbit Sleep Apnea Alert software will not be available to study participants, as the scope of this study is to gather validation data only and does not include testing product usability components. "",",Somnology,,
"""https://clinicaltrials.gov/show/NCT03774277"",","""Chickasaw Healthy Eating Environments Research Study"",",""" This study, the Chickasaw Healthy Eating Environments Research Study (CHEERS), will be conducted in partnership with Chickasaw Nation. CHEERS comprises several mutually reinforcing strategies to improve blood pressure (BP) control in people with hypertension. Environmental strategies include the investigator's innovative \""Packed Promise for a Healthy Heart\"" program that provides hypertensive adults ages 18 and older with a voucher for fresh vegetables and fruits (referred to as a \""fresh check\"") and home delivered food boxes that contain Dietary Approaches to Stop Hypertension (DASH)-approved ingredients for preparing low-salt, and traditional healthy Chickasaw meals. The study facilitates demonstrations of healthy cooking practices in participating communities. At the individual level, tribal members with uncontrolled hypertension will receive heart-healthy recipes (available at getfreshcooking.com) that are tailored to traditional Chickasaw diet and culture, educational materials, along with invitations to attend cooking demonstrations, fresh checks to improve access to fresh produce, and a Chickasaw Nation culturally-informed smartphone walking app called \""AYA.\"" At the policy level, CHEERS will culminate in a multimedia documentary presentation for tribal leadership detailing the intervention and featuring personal success stories by hypertensive community members. Study findings, including a health economics assessment, will be used to encourage policies for further expansion of the Packed Promise for a Healthy Heart Program; and policies promoting expansion of brick and mortar grocery outlets in rural Chickasaw communities. "",",Cardiology,,
"""https://clinicaltrials.gov/show/NCT03773380"",","""Breathe Anew for Lung Cancer Survivorship"",",""" Survivorship programs have become an integral component of modern cancer care programs. In Canada, there has been tremendous success for survivorship programs for breast, prostate, and colorectal cancer, however lung cancer survivorship programs have not been widely developed. The complexity of the disease, high mortality, short survival times, high cost of surveillance, and patient habits have traditionally been barriers against the success of lung cancer survivorship programs. The investigator proposes a feasibility study to pilot a novel intervention titled Breathe Anew, which will aim to identify and overcome the barriers to the design and implementation of a lung cancer survivorship program. The investigator has assembled a multi-disciplinary team of experts and lung cancer survivors who will develop the Breathe Anew survivorship intervention. The intervention will be vetted using an integrated knowledge translation approach, which will involve members of the target population, primarily patients who previously underwent lung resection, to modify the intervention and ensure acceptability. After Breathe Anew has been designed, it will be tested in a pilot study of 50 patients to ensure its feasibility and determine its cost. The ultimate goal of this feasibility study is to lay the groundwork for a subsequent comparative trial to evaluate the impact of Breathe Anew on patient-important outcomes including health related quality and length of life and postoperative complications. "",",Oncology,Pulmonology,
"""https://clinicaltrials.gov/show/NCT05257785"",","""Lymfit to Improve the Fitness and Quality of Life in Lymphoma Survivors"",",""" This randomized control trial seeks to determine whether a tailored and supervised exercise program adopting mobile-health technology will be able to improve fitness and quality of life among lymphoma survivors. "",",General Physiology,,
"""https://clinicaltrials.gov/show/NCT05258292"",","""Glycemic Variations During the Menstrual Cycle in Women With Type 1 Diabetes"",",""" In clinical practice, women living with type 1 diabetes frequently report that insulin requirements change across the menstrual cycle. Consequently, glycemic fluctuations are observed. This phenomenon could be explained by a decrease in insulin sensitivity during the second half of the menstrual cycle (luteal phase). Overall, despite an important proportion of women reporting glycemic and/or insulin variations across the menstrual cycle, studies to date have involved small sample sizes, and have had inconsistent results. The objective of this study will be to study glycemic fluctuations across the menstrual cycle using CGM data, alongside insulin data, in a large sample of women. "",",Endocrinology,,
"""https://clinicaltrials.gov/show/NCT02826122"",","""Diastolic Dysfunction During Conservative Lifestyle Treatment"",",""" The Purpose of this study is to 1) investigate prevalence of diastolic dysfunction in patients with morbid obesity attending a conservative lifestyle change program, 2) investigate effects on cardiac function, cardiorespiratory Fitness, body composition, quality of life and cardiovascular risk through the program, 3) investigate feasibility of introducing two different activity monitors throughout the program, and 4) comparing compliance to activity sensor market leader FitBit Application versus Mio Pai Application "",",Obstetrics,Cardiology,Bariatrics
"""https://clinicaltrials.gov/show/NCT02824861"",","""Bemobile Intervention to Support Physical Activity in Cancer Survivors"",",""" This study evaluates a technology based intervention (physical activity tracker, text messages, health coach, global positioning system enabled location based feedback on physical activity) to support physical activity in cancer survivors after completing oncology rehabilitation. In Phase 1 all participants received the full intervention. In phase II participants are randomly assigned to receive the full intervention or a fitbit only. "",",Oncology,,
"""https://clinicaltrials.gov/show/NCT02828553"",","""CHF Inpatient Ambulation Trial"",",""" There is an overwhelming amount of deconditioning that occurs during the hospitalization to a patient admitted with a primary diagnosis of congestive heart failure. The goals of this study are to determine if monitored activity and aggressive mobility provides improved outcomes in hospitalized heart failure patients. "",",Cardiology,,
"""https://clinicaltrials.gov/show/NCT04101630"",","""Activity Monitoring in Pulmonary Hypertension"",",""" This is a prospective, longitudinal, observational study of free-living activity trackers and patient reported outcomes to test the hypothesis that daily activity will have stronger prognostic value than 6MWD in patients with pulmonary hypertension after 12 weeks. "",",Cardiology,Pulmonology,
"""https://clinicaltrials.gov/show/NCT04102514"",","""A Dyadic Approach for a Remote Physical Activity Intervention in Adults With AD and Their Caregivers"",",""" The objective of this study is to compare the effectiveness of 2 intervention delivery strategies for increasing moderate physical activity (MPA), real-time group video conferencing (RGV) vs. enhanced usual care (EUC), in community dwelling adults with Alzheimer's diseases (AD) and their caregiver (dyads) over 18 mos. (6 mos. active, 6 mos. maintenance, 6 mos. no contact). The primary outcome is to compare total MPA (min/wk.), assessed using ActiGraph, in adults with AD from baseline to 6 mos. Secondary aims for the Adults with AD are to compare MPA (min/wk), sedentary time (min/wk.), percentage meeting 150 min/wk. goal, functional fitness, activities of daily living (basic/instrumental), quality of life, residential transitions, and cognitive function across 18 months between RGV and EUC. Secondary aims for the caregivers are to compare total MPA (min/wk.), sedentary time (min/wk.), functional fitness, quality of life, caregiver burden across 18 months between RGV and EUC. Additionally, as an exploratory aim, this study will evaluate the influence of process variables/participant characteristics on MPA in adults with AD and their caregiver across 6, 12 & 18 mos.: age, sex, BMI, attendance (exercise/support sessions), use of recorded videos, PA self-monitoring, peer interactions during group sessions, caregiver support, type and quality of dyadic relationship, and number of caregivers. "",",Other,General Physiology,
"""https://clinicaltrials.gov/show/NCT04109274"",","""Implementing Exercise Into Clinical Practice in Breast Cancer Care"",",""" BACKGROUND: One in eight women will develop breast cancer in their lifetime. With improved screening and treatment techniques, more women are surviving breast cancer. However, women live with physical and emotional side effects secondary to treatment for years after cancer treatments have ended. Exercise can help to manage these side effects, however, less than 30% of this population takes part in regular exercise. The objective of this trial is to determine the feasibility and effectiveness of a novel exercise and education program for women with breast cancer during chemotherapy. METHODS: Participants in this study include women with a diagnosis of stage 1 - 3 breast cancer undergoing chemotherapy. Women will be divided into three groups. The first group will include 8 sessions of exercise and self-management education during their chemotherapy treatment. The second group will receive self-management education only, and the third group will receive usual care. Outcomes will be compared between groups at baseline, post-intervention, and at 6- and 12- month follow up. Outcomes to be assessed include exercise level, functional mobility, muscle strength, quality of life, health status, and use of health care services. EXPECTED OUTCOMES: Women with breast cancer are among the least active segment of the Canadian population. It is well known that inactivity can lead to physical and psychological side effects, cancer recurrence, and an increase in comorbid conditions. This proposed project addresses a long-standing need to help women with breast cancer become and stay more active by implementing a novel exercise and education program. "",",Oncology,Psychiatry,General Physiology
"""https://clinicaltrials.gov/show/NCT05481593"",","""An Accessible and Inclusive Artificial Intelligence Assisted Chronic Disease Self-Management Telehealth Platform"",",""" The purpose of this study to pilot test an accessible and inclusive artificial intelligence (AI)-assisted, individualized, family-focused lifestyle modification intervention (AI4CHRON) for health-related quality of life for adults with impaired mobility and chronic medical conditions. "",",Chronic pain / diseases,,
"""https://clinicaltrials.gov/show/NCT05481697"",","""Unintentional Weight Loss and Cancer: A Prospective Trial of Patient-centered Weight Tracking Combin"",",""" Unintentional weight loss (UWL) is commonly associated with a wide variety of diseases and there is still no valid diagnostic pathway for evaluating UWL. When detecting UWL coupled with GRAIL Galleri testing, (an investigational pan-cancer early detection test), it is thought that there is a greater positive predictive value in detecting malignancies. This study aims to test the potential synergistic effects of UWL detection and GRAIL usage to detect malignancy at an even earlier rate. UWL will be measured using weekly weight tracking. "",",Oncology,,
"""https://clinicaltrials.gov/show/NCT05486390"",","""EMPOWERing Patients With Chronic Diseases Through Smartphone App, Health Coaching and Shared Decision Making"",",""" Chronic diseases are the leading cause of deaths in Singapore. The rising prevalence in chronic diseases with age and Singapore's rapidly aging population calls for new models of care to effectively prevent the onset and delay the progression of these diseases. Advancement in medical technology has offered new innovations that aid healthcare systems in coping with the rapid rising in healthcare needs. These include mobile applications, wearable technologies and machine learning-derived personalized behaviorial interventions. The overall goal of the project is to improve health outcomes in chronic disease patients through delivering targeted nudges via mobile application and wearable to sustain behavioral change. Our overall objective is to design, develop, and evaluate an adaptive intervention platform on wearable devices and shared decision-making during consultations for patients with diabetes and hypertension. Our aim for this study is to assess the clinical effectiveness of real-time personalized educational and behavioural interventions delivered through wearable (Fitbit) and an integrative mobile application in improving patient glycaemic control measured using HbA1c over 9 months. Secondary outcomes will include change in systolic blood pressure, quality of life (QoL), patient activation, medication adherence, physical activity level, diet, direct healthcare cost and indirect healthcare cost over 9 months. We will conduct a randomized controlled trial among patients with comorbid diabetes and hypertension. This proposal aims to develop sustainable and cost-effective behavioural change among patients with comorbid diabetes and hypertension through patient empowerment and targeted chronic disease care. "",",Chronic pain / diseases,Cardiology,Endocrinology
"""https://clinicaltrials.gov/show/NCT05346562"",","""Oral Cannabidiol Effect on Blood Pressure in Hypertensive Patients"",",""" The objective of this randomized, placebo-controlled and crossover study is to extend the findings from the acute studies into more chronic administration of CBD in individuals with mild or moderate hypertension who are either untreated or receiving standard care therapy. The hypothesis is that the hypotensive effects of CBD will be apparent in both untreated and treated hypertension and reflected in improved vascular biomarkers and psychological well-being. "",",Cardiology,Psychiatry,
"""https://clinicaltrials.gov/show/NCT05345106"",","""Inter-relationships Among Glucose, Brain, Gut Microbiota and MicroRNAs (IRONmiRNA)."",",""" The brain is a recognized target of iron deposition. This process is enhanced by the presence of obesity and hyperglycemia and impacts cognitive functions. There is evidence suggesting that the gut microbiota composition modulates this process. It has been proposed that microRNAs are mediators in the dialogue between the composition and functionality of the intestinal microbiota and increased iron deposition in the brain. The hypothesis is that circulating microRNAs are associated with parameters of cognitive dysfunction, gut microbiota, brain iron content, glucose levels, and physical activity in subjects with and without obesity. The study includes both a cross-sectional (comparison of subjects with and without obesity) and a longitudinal design (evaluation one year after weight loss induced by bariatric surgery or by diet in patients with obesity) to evaluate the associations between circulating microRNAs, continuous glucose monitoring, brain iron content (by magnetic resonance), cognitive function (by means of cognitive tests), physical activity (measured by activity and sleep tracker device) and the composition of the microbiota, evaluated by metagenomics. "",",Psychiatry,Other,Somnology
"""https://clinicaltrials.gov/show/NCT05349227"",","""Comprehensive Outcomes for After Cancer Health"",",""" This study intends to explore feasibility, acceptability, and outcomes related to the use of a digital health coaching intervention for individuals who have completed primary therapy for cancer. Up to 500 individuals with diverse cancer diagnoses will be enrolled across up to 5 clinical sites to participate in a randomized wait-list control study. Those in the intervention group will receive 6 months of digital coaching up front followed by 6 months of ongoing monitoring via patient reported and clinical outcomes, as well as wearable data. Those in the control group will be monitored via patient reported and clinical outcomes as well as wearable data for the first 6 months followed by 6 months of digital health coaching. Both groups will collect fecal microbiome samples at enrollment and month 6. The study aims to explore if and how digital health coaching may be used to enhance outcomes for individuals following completion of primary cancer therapy. "",",Oncology,,
"""https://clinicaltrials.gov/show/NCT05343533"",","""Probiotic Administration on Mood"",",""" Researchers are looking to examine the impact of probiotic administration on symptoms commonly associated with depression, anxiety, stress, sleep quality, and associated emotional responses in healthy men and women. "",",Psychiatry,Somnology,
"""https://clinicaltrials.gov/show/NCT05349188"",","""Feasibility Study of Personalized Trials to Improve Sleep Quality"",",""" The purpose of this pilot study is to assess the feasibility of using N-of-1 methods in a virtual research study of melatonin intervention for poor sleep quality. Participants (N=60) will be sent a Fitbit device and 3 smart pill bottles, with one containing 3 mg of melatonin, one containing 0.5 mg of melatonin, and the final bottle containing a placebo pill. The first two weeks will be a baseline period, where no supplement is assigned, but data are collected, including self-report of sleep quality and duration and accelerometer-derived sleep and activity data. After successful completion of the baseline period, participants will be randomized to six 2-week intervention blocks of a 3 mg dose melatonin, a 0.5 mg dose melatonin, and a placebo. At the end of the trial, participants will be asked to complete the System Usability Scale, a satisfaction survey (electronic or phone/video call if they are non-responders), and participate in a virtual interview (such as over Microsoft Teams or a phone call) to inform feasibility and acceptability of protocol requirements, study materials, and personalized reports. "",",Somnology,,
"""https://clinicaltrials.gov/show/NCT03617458"",","""Interventions Against Insulin Resistance in Pulmonary Arterial Hypertension"",",""" The primary objective of this study is to determine the impact of two interventions against insulin resistance on the composite endpoint of 10% improvement in baseline six minute walk distance or improvement in World Health Organization (WHO) functional class in humans with pulmonary artery hypertension (PAH). "",",Cardiology,Pulmonology,
"""https://clinicaltrials.gov/show/NCT03612063"",","""Accuracy of Commercially Available Heart Rate Monitors in Athletes"",",""" The purpose of this research is to compare four different heart rate monitors (Apple Watch Nike III,Fitbit Iconic, Garmin Vivosmart HR, Tom Tom Spark 3) to an Electrocardiograph (ECG) machine to determine the accuracy of the devices. Over the last two decades, there has been a proliferation of commercially available heart rate monitors. Elite athletes often use heart rate measurements to monitor training and fitness levels. In response, fitness companies have offered a variety of heart rate monitors to the general public. Previously, chest strap monitors that measured electrical activity were mainly used to track heart rates. More recently, wrist-worn monitors that use an optical sensor (light) to measure heart rate have gained in popularity. While the accuracy of chest strap monitors has been studied, there is currently no data concerning the accuracy of wrist-worn heart rate monitors. Assessment of the monitors' accuracy is important for subjects who rely upon the heart rate measurements to guide their athletic activity. "",",Cardiology,,
"""https://clinicaltrials.gov/show/NCT03612999"",","""Data Acquisition to Model Glycemic Response"",",""" To learn about individual glycemic response to physiological and psychological conditions across a diverse population, the investigators will collect sensor and lifestyle data directly from participants as they engage in daily activities. The investigators will collect real-time glucose data from a continuous glucose monitor (CGM) system; accelerometer, aggregated activity, and sleep data from a wrist-worn activity tracker; mood and experiential data; and food information. Non-sensor data will be collected using a paper log, or via a study app when available. "",",Psychiatry,Endocrinology,Somnology
"""https://clinicaltrials.gov/show/NCT04176926"",","""Validation of Software for Assessment of Atrial Fibrillation From Data Acquired by a Wearable Smartwatch"",",""" The goal of this study is to validate the Fitbit ECG software algorithm's ability to detect atrial fibrillation using data derived from a Fitbit wrist-worn consumer device that features a single lead ECG. The performance of the software application will be measured against centralized Core Lab physician-adjudicated 12-lead ECG tracings from FDA cleared ECG monitors as reference standards. The Fitbit software is intended as a pre-screening technology. It should identify candidates who may benefit from further evaluation. The software is not intended to be a diagnostic system. "",",Other,,
"""https://clinicaltrials.gov/show/NCT04173572"",","""Targeting Physical Health in Schizophrenia: Physical Activity Can Enhance Life Randomized Control Trial"",",""" Purpose: To test the effectiveness of an exercise intervention that combines group walking, activity tracking, and heart rate monitoring (i.e. Physical Activity can Enhance Life, PACE-Life) on the physical and mental health for individuals with schizophrenia spectrum disorder. Participants: 50 individuals with schizophrenia spectrum disorders. Procedures (methods): During the baseline assessment, which can be completed virtually and in-person (based on participant preference) all participants will be provided with a Fitbit wristband and instructed how to use it. During the first group session, participants will be taught how to use their heart rate (on the Fitbit) to determine how fast participants should walk (to achieve the appropriate exercise dosage). Information on proper care, usage, and how to determine the appropriate heart rate from the watch, to guide the intensity of the walk, will be provided to participants and reviewed at each group session. Participants randomly assigned to the PACE Life virtual walking group sessions will meet the other group members and group leaders and be reminded of the heart rate (HR) that corresponds with the intensity of that group session. Next, the group will exercise for 15 minutes in the first two weeks, progressing to 30-minute walking sessions over the course of the intervention. At the completion of the sessions, everyone will take a break for water and review the walk. After the second group session of each week, participants will receive weekly progress reports of their steps and minutes spent walking the prior week (obtained from Fitbit devices). During this session, participants will also set individual goals for the upcoming week for both their \""intensity walks\"" and total steps per day. Participants randomly assigned to Fitbit Alone will be given a Fitbit and shown how to use it by study staff. Participants will also be given information on current recommended physical activity guidelines (150 min/week of moderate intensity exercise) and will be told that study staff may be contacting them on a weekly basis (or shorter, if necessary) if it looks like participants are not wearing their Fitbit for a certain number of days (e.g. 3 consecutive days) or to troubleshoot any issues. If necessary, participants might be invited to meet with research staff to get assistance on any Fitibit or exercise-related issues. "",",Cardiology,Psychiatry,General Physiology
"""https://clinicaltrials.gov/show/NCT03138603"",","""Metoprolol to Reduce Perioperative Myocardial Injury"",",""" The purpose of this research study is to test if a commonly used, FDA-approved medication, called metoprolol, given during and after surgery, reduces the possibility of heart related complications in patients with CAD. "",",Cardiology,,
"""https://clinicaltrials.gov/show/NCT03131440"",","""Optimization of Remotely Delivered Physical Activity Intervention for Breast Cancer Survivors"",",""" The overall objective of the proposed research is to pilot test the feasibility and acceptability of a set of more scalable technology-supported physical activity promotion intervention strategies in breast cancer survivors using tMultiphase Optimization Strategy Trial (MOST) methodology. MOST involves highly efficient randomized experimentation to assess the effects of individual intervention strategies, and thereby identify which strategies and what strategy levels make the important contributions to the overall program's effect on physical activity. This information then guides assembly of an optimized physical activity program, that achieves target outcomes with least resource consumption and participant burden. The resulting intervention will have great potential for scalability because it uses technology (smartphones) participants already own and requires no on-site visits. "",",Oncology,General Physiology,
